"auto_id","screen_size","platform_count","platform_weight"
6709,"COARSE",2,1
7198,"COARSE",1,1
6806,"COARSE",8,8
7312,"COARSE",1,2
7162,"COARSE",1,1
6238,"COARSE",0,0
8675,"COARSE",2,1
5796,"COARSE",3,5
6252,"COARSE",2,2
5790,"COARSE",0,0
8684,"COARSE",0,0
7015,"COARSE",1,1
8698,"COARSE",0,0
8712,"COARSE",0,0
8549,"COARSE",1,1
8647,"COARSE",3,3
8657,"COARSE",0,0
8696,"COARSE",0,0
8720,"COARSE",0,0
7172,"COARSE",2,1
5629,"COARSE",1,1
6711,"COARSE",1,2
7348,"COARSE",2,3
7049,"COARSE",1,1
7284,"COARSE",2,3
6818,"COARSE",1,1
7000,"COARSE",1,1
5930,"COARSE",1,1
8538,"COARSE",0,0
8553,"COARSE",0,0
6669,"COARSE",4,3
6949,"COARSE",0,0
3691,"COARSE",0,0
7280,"COARSE",0,0
7326,"COARSE",0,0
5801,"COARSE",4,5
6897,"COARSE",6,6
7136,"COARSE",1,1
6990,"COARSE",2,1
7285,"COARSE",1,1
6704,"COARSE",3,5
7118,"COARSE",1,1
272,"COARSE",0,0
6678,"COARSE",1,1
6894,"COARSE",5,7
6727,"COARSE",1,2
6231,"COARSE",0,0
7286,"COARSE",0,0
6191,"COARSE",6,9
6726,"COARSE",0,0
3414,"COARSE",1,1
5936,"COARSE",7,11
6783,"COARSE",3,3
6729,"COARSE",0,0
8557,"COARSE",1,1
5812,"COARSE",3,1
6563,"COARSE",4,4
5522,"COARSE",0,0
3835,"COARSE",1,1
4070,"COARSE",1,3
810,"COARSE",3,11
3589,"COARSE",1,1
3900,"COARSE",0,0
3652,"COARSE",0,0
4299,"COARSE",1,1
3973,"COARSE",1,1
4298,"COARSE",2,5
4852,"COARSE",1,2
4664,"COARSE",1,1
4498,"COARSE",3,6
3617,"COARSE",1,1
3838,"COARSE",2,3
3703,"COARSE",1,1
4736,"COARSE",2,1
3265,"COARSE",1,1
3618,"COARSE",4,5
3777,"COARSE",1,1
4780,"COARSE",0,0
4612,"COARSE",1,1
4881,"COARSE",1,1
4291,"COARSE",1,1
4564,"COARSE",0,0
3831,"COARSE",1,1
4635,"COARSE",1,2
3975,"COARSE",0,0
4714,"COARSE",0,0
3908,"COARSE",1,1
4968,"COARSE",1,2
3852,"COARSE",1,1
3798,"COARSE",0,0
758,"COARSE",1,1
3247,"COARSE",1,1
3661,"COARSE",1,1
1153,"COARSE",1,1
4438,"COARSE",0,0
4729,"COARSE",2,2
4297,"COARSE",1,1
3856,"COARSE",1,1
4731,"COARSE",2,1
3232,"COARSE",2,1
1172,"COARSE",2,1
3791,"COARSE",2,3
3590,"COARSE",1,1
826,"COARSE",2,2
4540,"COARSE",3,8
3893,"COARSE",1,1
4655,"COARSE",1,1
4270,"COARSE",1,1
4684,"COARSE",1,1
4719,"COARSE",0,0
4302,"COARSE",2,1
4675,"COARSE",1,1
3933,"COARSE",1,1
4016,"COARSE",1,4
4501,"COARSE",0,0
846,"COARSE",1,1
4359,"COARSE",1,1
4323,"COARSE",2,4
4682,"COARSE",2,1
4596,"COARSE",0,0
737,"COARSE",1,1
3863,"COARSE",0,0
4161,"COARSE",1,1
1164,"COARSE",2,1
4652,"COARSE",1,1
3581,"COARSE",2,2
3969,"COARSE",1,1
4232,"COARSE",1,2
3878,"COARSE",0,0
4131,"COARSE",0,0
4792,"COARSE",1,1
4604,"COARSE",0,0
4228,"COARSE",0,0
3279,"COARSE",1,1
3875,"COARSE",2,5
4196,"COARSE",1,1
3217,"COARSE",1,1
4069,"COARSE",1,1
3239,"COARSE",2,1
4679,"COARSE",1,1
4893,"COARSE",0,0
3906,"COARSE",0,0
1151,"COARSE",4,8
4627,"COARSE",0,0
3224,"COARSE",3,1
4510,"COARSE",0,0
4479,"COARSE",2,3
3304,"COARSE",2,1
3208,"COARSE",2,3
4079,"COARSE",1,2
3461,"COARSE",2,3
3259,"COARSE",2,5
3273,"COARSE",0,0
791,"COARSE",0,0
3204,"COARSE",1,1
816,"COARSE",0,0
1161,"COARSE",1,3
267,"COARSE",0,0
3452,"COARSE",2,2
4813,"COARSE",2,3
832,"COARSE",0,0
880,"COARSE",1,4
3287,"COARSE",1,1
4084,"COARSE",0,0
4236,"COARSE",0,0
5075,"COARSE",1,1
4071,"COARSE",4,4
4812,"COARSE",0,0
4713,"COARSE",0,0
4587,"COARSE",2,1
3916,"COARSE",1,1
4717,"COARSE",0,0
3197,"COARSE",1,1
4164,"COARSE",0,0
4798,"COARSE",1,1
3252,"COARSE",0,0
4775,"COARSE",0,0
3995,"COARSE",1,1
4072,"COARSE",0,0
4412,"COARSE",3,6
4255,"COARSE",2,4
778,"COARSE",1,1
5307,"COARSE",0,0
4519,"COARSE",1,2
3948,"COARSE",2,4
3808,"COARSE",1,2
747,"COARSE",0,0
5130,"COARSE",1,1
3198,"COARSE",0,0
3883,"COARSE",0,0
4825,"COARSE",1,0
4360,"COARSE",0,0
4552,"COARSE",1,1
4256,"COARSE",0,0
727,"COARSE",1,1
766,"COARSE",1,1
3815,"COARSE",0,0
4482,"COARSE",1,1
884,"COARSE",1,1
4455,"COARSE",1,2
3716,"COARSE",0,0
4361,"COARSE",0,0
3632,"COARSE",2,4
3770,"COARSE",1,1
821,"COARSE",4,1
4280,"COARSE",1,1
3788,"COARSE",1,1
4215,"COARSE",1,1
809,"COARSE",1,1
1165,"COARSE",3,3
4699,"COARSE",0,0
3902,"COARSE",0,0
5113,"COARSE",0,0
4665,"COARSE",1,1
3792,"COARSE",2,1
726,"COARSE",1,2
776,"COARSE",2,2
3989,"COARSE",2,1
4804,"COARSE",0,0
4643,"COARSE",0,0
3998,"COARSE",0,0
3842,"COARSE",1,1
4621,"COARSE",3,2
4012,"COARSE",1,1
3802,"COARSE",21,2
3813,"COARSE",0,0
4677,"COARSE",0,0
4234,"COARSE",1,1
4125,"COARSE",0,0
4113,"COARSE",0,0
730,"COARSE",1,1
3904,"COARSE",1,1
3944,"COARSE",2,1
3889,"COARSE",1,1
3760,"COARSE",0,0
3877,"COARSE",1,1
4793,"COARSE",0,0
4095,"COARSE",1,1
3599,"COARSE",0,0
3825,"COARSE",0,0
3675,"COARSE",1,2
3866,"COARSE",1,1
4119,"COARSE",0,0
3678,"COARSE",0,0
4819,"COARSE",1,2
4080,"COARSE",1,1
5104,"COARSE",2,1
3817,"COARSE",0,0
856,"COARSE",1,1
6710,"COARSE",2,1
7332,"COARSE",0,0
7320,"COARSE",1,1
7021,"COARSE",0,0
7008,"COARSE",1,1
5590,"COARSE",1,1
5642,"COARSE",2,2
5497,"COARSE",0,0
7090,"COARSE",3,3
7018,"COARSE",1,11
5998,"COARSE",2,1
6282,"COARSE",1,1
6720,"COARSE",2,3
5519,"COARSE",2,4
6728,"COARSE",0,0
5840,"COARSE",4,7
5591,"COARSE",1,1
7331,"COARSE",2,1
5753,"COARSE",2,1
5845,"COARSE",1,2
5710,"COARSE",2,3
6242,"COARSE",1,1
5745,"COARSE",2,3
5838,"COARSE",3,9
5909,"COARSE",1,1
6197,"COARSE",1,1
6933,"COARSE",1,1
5727,"COARSE",4,5
5965,"COARSE",1,1
5813,"COARSE",3,2
5819,"COARSE",3,1
6018,"COARSE",3,1
5880,"COARSE",1,1
6165,"COARSE",6,5
6655,"COARSE",0,0
7323,"COARSE",0,0
6936,"COARSE",0,0
6700,"COARSE",11,12
6758,"COARSE",11,15
5772,"COARSE",1,1
8617,"COARSE",1,1
8682,"COARSE",3,1
5791,"COARSE",0,0
5480,"COARSE",5,4
6103,"COARSE",4,4
6084,"COARSE",4,10
6682,"COARSE",3,1
5858,"COARSE",4,4
5817,"COARSE",2,3
7355,"COARSE",1,1
6929,"COARSE",1,1
5937,"COARSE",4,3
6063,"COARSE",4,5
5747,"COARSE",1,1
1168,"COARSE",2,2
6332,"COARSE",8,0
7134,"COARSE",0,0
5915,"COARSE",2,1
5904,"COARSE",2,4
6628,"COARSE",2,1
3765,"COARSE",2,4
5822,"COARSE",4,4
6784,"COARSE",1,1
5780,"COARSE",0,0
5970,"COARSE",0,0
6464,"COARSE",1,1
5582,"COARSE",2,4
5695,"COARSE",1,1
5805,"COARSE",3,1
5543,"COARSE",1,1
5901,"COARSE",4,5
5786,"COARSE",1,1
5674,"COARSE",1,1
3931,"COARSE",2,1
6111,"COARSE",1,0
5881,"COARSE",1,1
7358,"COARSE",0,0
7012,"COARSE",0,0
6166,"COARSE",0,0
5761,"COARSE",1,1
6060,"COARSE",4,2
5779,"COARSE",0,0
5942,"COARSE",0,0
5794,"COARSE",0,0
6049,"COARSE",7,5
5743,"COARSE",3,4
5496,"COARSE",4,5
6605,"COARSE",1,1
7317,"COARSE",0,0
6777,"COARSE",2,1
7349,"COARSE",0,0
7340,"COARSE",0,0
6025,"COARSE",1,1
6296,"COARSE",3,3
5929,"COARSE",4,1
6814,"COARSE",2,2
6733,"COARSE",0,0
8556,"COARSE",0,0
7182,"COARSE",2,3
6233,"COARSE",0,0
7274,"COARSE",0,0
6248,"COARSE",0,0
7060,"COARSE",1,1
6622,"COARSE",0,0
5792,"COARSE",4,3
5853,"COARSE",5,6
6935,"COARSE",1,2
1147,"COARSE",5,9
8356,"COARSE",3,3
8359,"COARSE",1,1
8355,"COARSE",1,1
8242,"COARSE",1,1
8525,"COARSE",2,2
6420,"COARSE",4,2
6611,"COARSE",4,4
7472,"COARSE",1,1
7391,"COARSE",2,4
8367,"COARSE",0,0
8250,"COARSE",1,1
8511,"COARSE",1,1
8596,"COARSE",0,0
8365,"COARSE",0,0
8577,"COARSE",0,0
8559,"COARSE",1,1
8593,"COARSE",1,1
8621,"COARSE",0,0
8386,"COARSE",2,1
8615,"COARSE",0,0
8397,"COARSE",0,0
6426,"COARSE",1,1
8547,"COARSE",1,1
8564,"COARSE",2,1
8566,"COARSE",1,1
8390,"COARSE",1,2
8612,"COARSE",2,4
8591,"COARSE",1,1
6937,"COARSE",0,0
8609,"COARSE",1,1
7054,"COARSE",2,2
8233,"COARSE",2,1
8253,"COARSE",0,0
8548,"COARSE",2,1
8079,"COARSE",0,0
7483,"COARSE",1,3
6075,"COARSE",1,1
6168,"COARSE",0,0
8020,"COARSE",0,0
6351,"COARSE",2,2
6394,"COARSE",3,5
6874,"COARSE",3,5
6922,"COARSE",3,3
8062,"COARSE",2,2
8019,"COARSE",1,4
8114,"COARSE",0,0
6340,"COARSE",2,3
6594,"COARSE",5,5
7955,"COARSE",10,11
7973,"COARSE",1,1
7439,"COARSE",4,2
6952,"COARSE",1,1
7407,"COARSE",0,0
8012,"COARSE",0,0
7532,"COARSE",0,0
7485,"COARSE",3,2
6919,"COARSE",2,1
8017,"COARSE",0,0
7524,"COARSE",0,0
7157,"COARSE",1,1
8011,"COARSE",1,1
6625,"COARSE",4,1
8015,"COARSE",0,0
7968,"COARSE",1,1
8010,"COARSE",1,1
6507,"COARSE",1,1
6956,"COARSE",1,2
7477,"COARSE",1,1
7154,"COARSE",0,0
6504,"COARSE",5,4
7375,"COARSE",1,1
7272,"COARSE",2,2
8102,"COARSE",0,0
7310,"COARSE",0,0
7022,"COARSE",0,0
7503,"COARSE",9,4
6523,"COARSE",1,12
6572,"COARSE",2,4
7222,"COARSE",1,1
8050,"COARSE",0,0
8016,"COARSE",0,0
7347,"COARSE",0,0
7328,"COARSE",0,0
7330,"COARSE",0,0
8104,"COARSE",0,0
7528,"COARSE",0,0
8023,"COARSE",0,0
6981,"COARSE",3,4
6968,"COARSE",0,0
6265,"COARSE",2,2
6530,"COARSE",0,0
7460,"COARSE",0,0
6167,"COARSE",7,9
6964,"COARSE",1,1
6328,"COARSE",0,0
7960,"COARSE",4,10
6488,"COARSE",1,1
7508,"COARSE",0,0
8087,"COARSE",0,0
5816,"COARSE",0,0
8092,"COARSE",0,0
6349,"COARSE",0,0
7371,"COARSE",0,0
9907,"COARSE",0,0
6487,"COARSE",1,1
7996,"COARSE",5,9
7078,"COARSE",1,1
6889,"COARSE",1,1
7106,"COARSE",0,0
8097,"COARSE",1,1
8091,"COARSE",0,0
8055,"COARSE",3,7
6256,"COARSE",1,1
7257,"COARSE",4,2
6357,"COARSE",3,2
7223,"COARSE",2,3
8071,"COARSE",0,0
8067,"COARSE",4,5
7396,"COARSE",0,0
6392,"COARSE",0,0
7205,"COARSE",0,0
6984,"COARSE",1,1
6537,"COARSE",1,1
7180,"COARSE",0,0
7116,"COARSE",1,1
7437,"COARSE",0,0
6263,"COARSE",0,0
7249,"COARSE",2,2
6592,"COARSE",3,1
8111,"COARSE",0,0
7451,"COARSE",7,6
8084,"COARSE",2,3
6455,"COARSE",1,1
8101,"COARSE",3,1
7939,"COARSE",2,1
6255,"COARSE",0,0
6533,"COARSE",0,0
7435,"COARSE",0,0
6453,"COARSE",9,7
7036,"COARSE",5,1
8049,"COARSE",3,5
7111,"COARSE",2,3
7535,"COARSE",2,3
7397,"COARSE",3,2
6273,"COARSE",2,2
7940,"COARSE",7,7
6600,"COARSE",1,1
6522,"COARSE",1,1
7178,"COARSE",4,4
7374,"COARSE",1,2
8212,"COARSE",0,0
6398,"COARSE",4,2
6613,"COARSE",5,3
8006,"COARSE",0,0
6375,"COARSE",4,9
8608,"COARSE",1,1
7989,"COARSE",0,0
8244,"COARSE",2,1
6958,"COARSE",0,0
6571,"COARSE",3,2
7324,"COARSE",2,1
8053,"COARSE",0,0
7306,"COARSE",1,1
6518,"COARSE",1,1
6371,"COARSE",7,5
7237,"COARSE",0,0
7246,"COARSE",0,0
7373,"COARSE",0,0
6308,"COARSE",4,7
6216,"COARSE",3,4
7234,"COARSE",1,1
7987,"COARSE",2,1
6496,"COARSE",4,2
8109,"COARSE",7,5
6220,"COARSE",2,5
7964,"COARSE",1,1
6506,"COARSE",2,1
6428,"COARSE",1,1
7993,"COARSE",0,0
8379,"COARSE",1,1
7302,"COARSE",1,2
7392,"COARSE",0,0
7214,"COARSE",1,1
7367,"COARSE",0,0
7352,"COARSE",1,1
7263,"COARSE",0,0
7163,"COARSE",0,0
6483,"COARSE",1,1
7102,"COARSE",1,1
7053,"COARSE",2,2
7346,"COARSE",1,1
6550,"COARSE",1,1
8263,"COARSE",0,0
6999,"COARSE",5,6
8260,"COARSE",0,0
7189,"COARSE",0,0
9681,"COARSE",0,0
9115,"COARSE",1,3
9956,"COARSE",1,7
9317,"COARSE",2,2
9527,"COARSE",1,5
9632,"COARSE",1,1
9184,"COARSE",7,9
9918,"COARSE",2,4
9081,"COARSE",8,7
9605,"COARSE",4,14
9941,"COARSE",2,8
9663,"COARSE",2,2
9606,"COARSE",7,4
9868,"COARSE",0,0
9078,"COARSE",0,0
1506,"COARSE",0,0
9132,"COARSE",0,0
1529,"COARSE",1,2
9957,"COARSE",3,1
1545,"COARSE",1,1
9813,"COARSE",1,1
9786,"COARSE",1,2
9801,"COARSE",0,0
9826,"COARSE",2,4
9935,"COARSE",3,1
1526,"COARSE",1,1
9220,"COARSE",4,4
9788,"COARSE",0,0
8951,"COARSE",3,7
9052,"COARSE",1,1
8966,"COARSE",1,4
7863,"COARSE",1,1
7810,"COARSE",1,6
9036,"COARSE",1,2
8996,"COARSE",0,0
7888,"COARSE",0,0
8213,"COARSE",1,1
1008,"COARSE",2,6
9103,"COARSE",1,2
9703,"COARSE",1,3
9009,"COARSE",0,0
9108,"COARSE",1,1
9931,"COARSE",7,6
7861,"COARSE",0,0
9193,"COARSE",1,1
8904,"COARSE",0,0
9179,"COARSE",1,1
8888,"COARSE",0,0
7632,"COARSE",1,1
9910,"COARSE",0,0
8993,"COARSE",0,0
8908,"COARSE",0,0
8918,"COARSE",0,0
7821,"COARSE",1,1
7865,"COARSE",0,0
7628,"COARSE",1,2
7606,"COARSE",1,1
9015,"COARSE",0,0
7648,"COARSE",1,1
8893,"COARSE",0,0
8820,"COARSE",2,6
9002,"COARSE",0,0
7611,"COARSE",1,6
8890,"COARSE",1,2
7566,"COARSE",0,0
7634,"COARSE",1,1
8823,"COARSE",2,1
9035,"COARSE",2,3
9765,"COARSE",0,0
9123,"COARSE",1,1
9116,"COARSE",1,1
7640,"COARSE",1,4
9597,"COARSE",0,0
9621,"COARSE",0,0
9259,"COARSE",1,1
9768,"COARSE",1,1
9909,"COARSE",1,2
9054,"COARSE",1,1
9295,"COARSE",2,1
9926,"COARSE",0,0
9921,"COARSE",0,0
9680,"COARSE",0,0
1530,"COARSE",2,10
7789,"COARSE",0,0
9645,"COARSE",1,3
9173,"COARSE",2,2
9940,"COARSE",1,2
9864,"COARSE",0,0
9169,"COARSE",0,0
8623,"COARSE",0,0
9908,"COARSE",3,4
7662,"COARSE",1,1
8849,"COARSE",1,1
7647,"COARSE",2,1
9688,"COARSE",0,0
9794,"COARSE",1,1
9729,"COARSE",0,0
7633,"COARSE",1,1
7831,"COARSE",0,0
7564,"COARSE",0,0
7663,"COARSE",0,0
7549,"COARSE",1,1
9874,"COARSE",2,4
7550,"COARSE",1,1
9251,"COARSE",1,1
9528,"COARSE",0,0
5368,"COARSE",2,1
5426,"COARSE",0,0
5276,"COARSE",1,1
1746,"COARSE",0,0
1759,"COARSE",0,0
1862,"COARSE",1,1
1873,"COARSE",1,1
5244,"COARSE",0,0
5289,"COARSE",1,1
5415,"COARSE",0,0
5240,"COARSE",1,1
5251,"COARSE",1,1
5435,"COARSE",1,1
5434,"COARSE",0,0
5425,"COARSE",0,0
5428,"COARSE",2,1
5423,"COARSE",0,0
5296,"COARSE",1,1
5427,"COARSE",0,0
5408,"COARSE",1,1
5429,"COARSE",0,0
5369,"COARSE",2,1
7847,"COARSE",0,0
9925,"COARSE",0,0
1765,"COARSE",1,3
1518,"COARSE",1,1
1744,"COARSE",1,1
1870,"COARSE",3,1
1886,"COARSE",0,0
9121,"COARSE",1,2
5413,"COARSE",1,1
5401,"COARSE",0,0
6719,"COARSE",0,0
5394,"COARSE",0,0
7520,"COARSE",1,1
8967,"COARSE",1,1
5363,"COARSE",3,1
8971,"COARSE",1,1
1800,"COARSE",2,4
1883,"COARSE",2,1
11812,"COARSE",0,0
11767,"COARSE",0,0
11507,"COARSE",0,0
11467,"COARSE",1,1
11453,"COARSE",2,1
1799,"COARSE",1,1
11222,"COARSE",0,0
1733,"COARSE",1,1
11419,"COARSE",0,0
11487,"COARSE",2,1
11399,"COARSE",3,2
11255,"COARSE",1,1
1801,"COARSE",5,3
11367,"COARSE",6,4
11517,"COARSE",1,7
11328,"COARSE",1,1
11326,"COARSE",0,0
11422,"COARSE",0,0
1774,"COARSE",1,3
11582,"COARSE",0,0
11577,"COARSE",0,0
11531,"COARSE",3,6
11660,"COARSE",2,1
11885,"COARSE",1,1
1884,"COARSE",0,0
11893,"COARSE",2,3
11536,"COARSE",1,4
11718,"COARSE",2,1
11305,"COARSE",2,4
11635,"COARSE",0,0
11245,"COARSE",1,1
11198,"COARSE",2,1
11308,"COARSE",0,0
11322,"COARSE",2,1
11270,"COARSE",1,1
1767,"COARSE",0,0
11611,"COARSE",3,2
11286,"COARSE",1,1
11196,"COARSE",0,0
1795,"COARSE",0,0
11212,"COARSE",0,0
11349,"COARSE",1,1
11632,"COARSE",0,0
11642,"COARSE",0,0
11624,"COARSE",0,0
11256,"COARSE",3,3
11596,"COARSE",1,1
11553,"COARSE",0,0
11557,"COARSE",1,1
11578,"COARSE",1,1
1758,"COARSE",1,1
11116,"COARSE",3,1
11567,"COARSE",0,0
11688,"COARSE",0,0
11380,"COARSE",2,1
11621,"COARSE",0,0
11614,"COARSE",0,0
1769,"COARSE",0,0
11274,"COARSE",0,0
11160,"COARSE",0,0
11249,"COARSE",0,0
11400,"COARSE",0,0
1522,"COARSE",0,0
11572,"COARSE",0,0
11535,"COARSE",2,1
11574,"COARSE",0,0
11339,"COARSE",0,0
11541,"COARSE",0,0
11472,"COARSE",1,1
11388,"COARSE",0,0
11297,"COARSE",0,0
11560,"COARSE",1,1
11366,"COARSE",1,1
11420,"COARSE",3,2
11616,"COARSE",1,2
11278,"COARSE",3,5
11215,"COARSE",3,2
1789,"COARSE",0,0
11612,"COARSE",0,0
10256,"COARSE",1,1
11409,"COARSE",0,0
11229,"COARSE",2,1
11351,"COARSE",0,0
11637,"COARSE",0,0
11584,"COARSE",0,0
11625,"COARSE",0,0
11306,"COARSE",0,0
11410,"COARSE",1,1
11414,"COARSE",1,3
11180,"COARSE",0,0
11197,"COARSE",1,1
11907,"COARSE",0,0
10167,"COARSE",3,6
11251,"COARSE",0,0
10313,"COARSE",0,0
10345,"COARSE",0,0
498,"COARSE",0,0
10103,"COARSE",3,4
11118,"COARSE",1,1
10078,"COARSE",0,0
10185,"COARSE",0,0
10126,"COARSE",2,2
10013,"COARSE",1,2
10074,"COARSE",2,1
11887,"COARSE",0,0
11439,"COARSE",0,0
11157,"COARSE",0,0
10330,"COARSE",0,0
11149,"COARSE",2,2
10340,"COARSE",2,2
10318,"COARSE",0,0
10308,"COARSE",3,2
10279,"COARSE",0,0
11566,"COARSE",1,1
11143,"COARSE",0,0
11869,"COARSE",1,4
1784,"COARSE",0,0
11128,"COARSE",4,2
10038,"COARSE",1,1
485,"COARSE",0,0
281,"COARSE",0,0
10372,"COARSE",0,0
10142,"COARSE",0,0
11389,"COARSE",0,0
10047,"COARSE",2,1
11363,"COARSE",0,0
11211,"COARSE",0,0
11165,"COARSE",0,0
11575,"COARSE",0,0
11138,"COARSE",0,0
9998,"COARSE",1,1
11164,"COARSE",1,1
11694,"COARSE",1,1
11114,"COARSE",0,0
11154,"COARSE",0,0
11475,"COARSE",0,0
11091,"COARSE",0,0
10174,"COARSE",4,3
10187,"COARSE",0,0
10251,"COARSE",0,0
10118,"COARSE",0,1
10083,"COARSE",0,0
11344,"COARSE",2,1
11638,"COARSE",0,0
10014,"COARSE",0,0
11130,"COARSE",1,1
10179,"COARSE",0,0
11299,"COARSE",1,1
9978,"COARSE",1,1
11445,"COARSE",0,0
11654,"COARSE",2,3
11525,"COARSE",1,1
11330,"COARSE",2,3
10205,"COARSE",2,1
11141,"COARSE",0,0
11109,"COARSE",0,0
1751,"COARSE",0,0
11176,"COARSE",1,3
11120,"COARSE",1,1
11627,"COARSE",0,0
11474,"COARSE",1,4
11200,"COARSE",3,2
11338,"COARSE",0,0
11692,"COARSE",0,0
11411,"COARSE",0,0
11124,"COARSE",0,0
11428,"COARSE",0,0
11194,"COARSE",2,1
11456,"COARSE",0,0
1773,"COARSE",1,1
11436,"COARSE",1,1
11506,"COARSE",0,0
11105,"COARSE",2,1
11284,"COARSE",1,1
11511,"COARSE",3,7
11391,"COARSE",0,0
11096,"COARSE",0,0
11188,"COARSE",1,1
1787,"COARSE",1,4
11548,"COARSE",0,0
11452,"COARSE",0,0
10351,"COARSE",0,0
11493,"COARSE",1,2
1786,"COARSE",0,0
10355,"COARSE",1,1
11181,"COARSE",1,1
512,"COARSE",0,0
11218,"COARSE",0,0
9989,"COARSE",1,1
11223,"COARSE",0,0
10353,"COARSE",2,1
1547,"COARSE",0,0
1737,"COARSE",0,0
1757,"COARSE",0,0
1768,"COARSE",0,0
1510,"COARSE",0,0
1509,"COARSE",1,1
1514,"COARSE",0,0
1544,"COARSE",0,0
1778,"COARSE",0,0
1780,"COARSE",0,0
1802,"COARSE",0,0
1551,"COARSE",0,0
1552,"COARSE",0,0
1501,"COARSE",0,0
1803,"COARSE",0,0
994,"COARSE",2,6
1519,"COARSE",3,5
1006,"COARSE",0,0
998,"COARSE",0,0
1953,"COARSE",1,1
1785,"COARSE",0,0
1540,"COARSE",2,3
1738,"COARSE",0,0
1505,"COARSE",1,1
1507,"COARSE",1,1
1761,"COARSE",0,0
478,"COARSE",0,0
1740,"COARSE",0,0
1538,"COARSE",0,0
1747,"COARSE",0,0
1754,"COARSE",0,0
1764,"COARSE",0,0
1756,"COARSE",0,0
1497,"COARSE",0,0
1537,"COARSE",0,0
1921,"COARSE",0,0
1770,"COARSE",0,0
1776,"COARSE",0,0
1516,"COARSE",0,0
1798,"COARSE",1,1
1878,"COARSE",0,0
1745,"COARSE",0,0
4803,"COARSE",0,0
1748,"COARSE",0,0
1863,"COARSE",0,0
1515,"COARSE",0,0
1512,"COARSE",1,6
1500,"COARSE",1,1
104,"COARSE",0,0
1521,"COARSE",1,3
1779,"COARSE",0,0
282,"COARSE",1,1
1498,"COARSE",0,0
1749,"COARSE",0,0
1534,"COARSE",0,0
1732,"COARSE",1,1
1782,"COARSE",0,0
1503,"COARSE",0,0
1919,"COARSE",2,1
515,"COARSE",0,0
1922,"COARSE",0,0
1741,"COARSE",0,0
1866,"COARSE",0,0
1790,"COARSE",0,0
1520,"COARSE",0,0
1868,"COARSE",0,0
1859,"COARSE",0,0
1783,"COARSE",0,0
1860,"COARSE",1,1
1533,"COARSE",1,1
490,"COARSE",1,4
1743,"COARSE",0,0
1536,"COARSE",0,0
1541,"COARSE",0,0
1524,"COARSE",3,16
1797,"COARSE",0,0
1502,"COARSE",0,0
1528,"COARSE",0,0
517,"COARSE",1,2
110,"COARSE",3,1
1781,"COARSE",1,1
1004,"COARSE",0,0
506,"COARSE",0,0
494,"COARSE",0,0
898,"COARSE",0,0
492,"COARSE",0,0
1548,"COARSE",0,0
109,"COARSE",0,0
895,"COARSE",0,0
903,"COARSE",0,0
988,"COARSE",0,0
499,"COARSE",0,0
477,"COARSE",2,1
501,"COARSE",2,3
504,"COARSE",0,0
1000,"COARSE",3,4
513,"COARSE",0,0
488,"COARSE",2,1
990,"COARSE",0,0
1775,"COARSE",0,0
995,"COARSE",0,0
120,"COARSE",0,0
112,"COARSE",0,0
111,"COARSE",1,1
108,"COARSE",1,1
507,"COARSE",1,1
993,"COARSE",0,0
500,"COARSE",0,0
516,"COARSE",1,3
497,"COARSE",1,1
472,"COARSE",2,1
467,"COARSE",0,0
113,"COARSE",0,0
119,"COARSE",1,2
1005,"COARSE",1,1
514,"COARSE",3,3
9219,"COARSE",0,0
4673,"COARSE",0,0
1923,"COARSE",2,2
4786,"COARSE",0,0
5393,"COARSE",0,0
4768,"COARSE",0,0
8110,"COARSE",0,0
4787,"COARSE",0,0
266,"COARSE",3,4
10621,"COARSE",0,0
12284,"COARSE",1,1
10386,"COARSE",2,4
5245,"COARSE",0,0
5416,"COARSE",0,0
5207,"COARSE",0,0
5265,"COARSE",0,0
10385,"COARSE",0,0
12279,"COARSE",1,1
12347,"COARSE",0,0
10571,"COARSE",0,0
10574,"COARSE",1,1
1159,"COARSE",1,1
12029,"COARSE",0,0
11034,"COARSE",1,2
5165,"COARSE",0,0
12019,"COARSE",0,0
10570,"COARSE",0,0
12223,"COARSE",1,1
10387,"COARSE",0,0
12232,"COARSE",1,1
10581,"COARSE",0,0
11019,"COARSE",2,4
11932,"COARSE",0,0
12240,"COARSE",0,0
5366,"COARSE",0,0
10936,"COARSE",1,1
5349,"COARSE",0,0
12355,"COARSE",0,0
11021,"COARSE",0,0
10579,"COARSE",1,1
12239,"COARSE",0,0
5285,"COARSE",0,0
12041,"COARSE",0,0
12236,"COARSE",2,1
10391,"COARSE",1,1
12350,"COARSE",0,0
10618,"COARSE",1,3
5286,"COARSE",0,0
11930,"COARSE",0,0
1171,"COARSE",0,0
3757,"COARSE",2,7
5402,"COARSE",0,0
12034,"COARSE",1,1
5228,"COARSE",0,0
11036,"COARSE",0,0
12225,"COARSE",0,0
261,"COARSE",4,3
